src,dest,EdgeType
CD40-Epi,CD40-Geno,Gene-Epi-Gene-Geno
CD40LG-Epi,CD40LG-Geno,Gene-Epi-Gene-Geno
CD72-Epi,CD72-Geno,Gene-Epi-Gene-Geno
CD79A-Epi,CD79A-Geno,Gene-Epi-Gene-Geno
CD79B-Epi,CD79B-Geno,Gene-Epi-Gene-Geno
CD80-Epi,CD80-Geno,Gene-Epi-Gene-Geno
CD82-Epi,CD82-Geno,Gene-Epi-Gene-Geno
CD86-Epi,CD86-Geno,Gene-Epi-Gene-Geno
CD8A-Epi,CD8A-Geno,Gene-Epi-Gene-Geno
CD8B-Epi,CD8B-Geno,Gene-Epi-Gene-Geno
CDC25B-Epi,CDC25B-Geno,Gene-Epi-Gene-Geno
CDC37-Epi,CDC37-Geno,Gene-Epi-Gene-Geno
CDC42-Epi,CDC42-Geno,Gene-Epi-Gene-Geno
CDH1-Epi,CDH1-Geno,Gene-Epi-Gene-Geno
CDK1-Epi,CDK1-Geno,Gene-Epi-Gene-Geno
CDK2-Epi,CDK2-Geno,Gene-Epi-Gene-Geno
CDK4-Epi,CDK4-Geno,Gene-Epi-Gene-Geno
CDK6-Epi,CDK6-Geno,Gene-Epi-Gene-Geno
CDKN1A-Epi,CDKN1A-Geno,Gene-Epi-Gene-Geno
CDKN1B-Epi,CDKN1B-Geno,Gene-Epi-Gene-Geno
CDKN2A-Epi,CDKN2A-Geno,Gene-Epi-Gene-Geno
CDKN2B-Epi,CDKN2B-Geno,Gene-Epi-Gene-Geno
CDKN2D-Epi,CDKN2D-Geno,Gene-Epi-Gene-Geno
CDON-Epi,CDON-Geno,Gene-Epi-Gene-Geno
CEBPB-Epi,CEBPB-Geno,Gene-Epi-Gene-Geno
CER1-Epi,CER1-Geno,Gene-Epi-Gene-Geno
CFLAR-Epi,CFLAR-Geno,Gene-Epi-Gene-Geno
CFTR-Epi,CFTR-Geno,Gene-Epi-Gene-Geno
CGA-Epi,CGA-Geno,Gene-Epi-Gene-Geno
CHAD-Epi,CHAD-Geno,Gene-Epi-Gene-Geno
CHD8-Epi,CHD8-Geno,Gene-Epi-Gene-Geno
CHEK1-Epi,CHEK1-Geno,Gene-Epi-Gene-Geno
CHEK2-Epi,CHEK2-Geno,Gene-Epi-Gene-Geno
CHRD-Epi,CHRD-Geno,Gene-Epi-Gene-Geno
CHRM1-Epi,CHRM1-Geno,Gene-Epi-Gene-Geno
CHRM2-Epi,CHRM2-Geno,Gene-Epi-Gene-Geno
CHRM3-Epi,CHRM3-Geno,Gene-Epi-Gene-Geno
CHRM5-Epi,CHRM5-Geno,Gene-Epi-Gene-Geno
CHRNA7-Epi,CHRNA7-Geno,Gene-Epi-Gene-Geno
CHUK-Epi,CHUK-Geno,Gene-Epi-Gene-Geno
CIR1-Epi,CIR1-Geno,Gene-Epi-Gene-Geno
CISH-Epi,CISH-Geno,Gene-Epi-Gene-Geno
CLEC1B-Epi,CLEC1B-Geno,Gene-Epi-Gene-Geno
CLEC4D-Epi,CLEC4D-Geno,Gene-Epi-Gene-Geno
CLEC4E-Epi,CLEC4E-Geno,Gene-Epi-Gene-Geno
CLEC4M-Epi,CLEC4M-Geno,Gene-Epi-Gene-Geno
CLEC6A-Epi,CLEC6A-Geno,Gene-Epi-Gene-Geno
CLEC7A-Epi,CLEC7A-Geno,Gene-Epi-Gene-Geno
CLIP1-Epi,CLIP1-Geno,Gene-Epi-Gene-Geno
CNGA1-Epi,CNGA1-Geno,Gene-Epi-Gene-Geno
CNGA2-Epi,CNGA2-Geno,Gene-Epi-Gene-Geno
CNGA3-Epi,CNGA3-Geno,Gene-Epi-Gene-Geno
CNGA4-Epi,CNGA4-Geno,Gene-Epi-Gene-Geno
CNGB1-Epi,CNGB1-Geno,Gene-Epi-Gene-Geno
CNGB3-Epi,CNGB3-Geno,Gene-Epi-Gene-Geno
CNR1-Epi,CNR1-Geno,Gene-Epi-Gene-Geno
CNTF-Epi,CNTF-Geno,Gene-Epi-Gene-Geno
CNTFR-Epi,CNTFR-Geno,Gene-Epi-Gene-Geno
COL1A1-Epi,COL1A1-Geno,Gene-Epi-Gene-Geno
COL1A2-Epi,COL1A2-Geno,Gene-Epi-Gene-Geno
COL2A1-Epi,COL2A1-Geno,Gene-Epi-Gene-Geno
COL3A1-Epi,COL3A1-Geno,Gene-Epi-Gene-Geno
COL4A1-Epi,COL4A1-Geno,Gene-Epi-Gene-Geno
COL4A2-Epi,COL4A2-Geno,Gene-Epi-Gene-Geno
COL4A3-Epi,COL4A3-Geno,Gene-Epi-Gene-Geno
COL4A4-Epi,COL4A4-Geno,Gene-Epi-Gene-Geno
